Gene stable ID	NCBI gene (formerly Entrezgene) ID
ENSG00000224418	NA
ENSG00000256305	NA
ENSG00000217686	NA
ENSG00000234056	NA
ENSG00000233549	NA
ENSG00000238169	NA
ENSG00000233662	NA
ENSG00000225105	NA
ENSG00000243366	NA
ENSG00000235315	NA
ENSG00000229918	100874096
ENSG00000261530	685
ENSG00000221324	NA
ENSG00000260509	NA
ENSG00000231981	NA
ENSG00000234152	NA
ENSG00000265546	NA
ENSG00000260666	NA
ENSG00000207298	100873782
ENSG00000199767	100873778
ENSG00000260992	100861541
ENSG00000180803	NA
ENSG00000230871	NA
ENSG00000242381	NA
ENSG00000260334	2520
ENSG00000223158	NA
ENSG00000231983	NA
ENSG00000234005	NA
ENSG00000228889	100289373
ENSG00000233963	NA
ENSG00000201793	NA
ENSG00000218502	NA
ENSG00000207719	693208
ENSG00000234706	NA
ENSG00000228808	NA
ENSG00000271559	NA
ENSG00000238241	NA
ENSG00000227882	NA
ENSG00000266207	NA
ENSG00000203441	NA
ENSG00000234031	NA
ENSG00000212197	NA
ENSG00000234168	NA
ENSG00000237001	NA
ENSG00000234239	NA
ENSG00000230256	NA
ENSG00000223782	NA
ENSG00000263615	100422861
ENSG00000218198	NA
ENSG00000227659	100874063
ENSG00000232162	NA
ENSG00000234303	101927465
ENSG00000230641	100874071
ENSG00000234772	NA
ENSG00000201245	NA
ENSG00000238305	NA
ENSG00000207500	26771
ENSG00000260738	100861542
ENSG00000207051	619499
ENSG00000221756	NA
ENSG00000225999	NA
ENSG00000252247	NA
ENSG00000229609	NA
ENSG00000236554	NA
ENSG00000201242	NA
ENSG00000203602	NA
ENSG00000252499	100873768
ENSG00000228501	NA
ENSG00000226703	NA
ENSG00000261125	9001
ENSG00000270632	NA
ENSG00000207330	NA
ENSG00000234650	100885777
ENSG00000247381	100861550
ENSG00000260704	NA
ENSG00000242360	NA
ENSG00000224356	NA
ENSG00000271026	NA
ENSG00000235115	NA
ENSG00000234354	NA
ENSG00000261485	100288730
ENSG00000237082	NA
ENSG00000232587	NA
ENSG00000200840	100873781
ENSG00000233009	100885778
ENSG00000235472	NA
ENSG00000202237	100873762
ENSG00000214051	NA
ENSG00000233588	NA
ENSG00000229599	NA
ENSG00000236339	NA
ENSG00000272349	NA
ENSG00000221670	NA
ENSG00000201155	NA
ENSG00000236758	NA
ENSG00000215399	NA
ENSG00000265164	100616110
ENSG00000223460	NA
ENSG00000229975	NA
ENSG00000270680	NA
ENSG00000201690	NA
ENSG00000179141	100874107
ENSG00000264482	100616239
ENSG00000236860	NA
ENSG00000236258	NA
ENSG00000224329	100874059
ENSG00000243319	283480
ENSG00000224405	100861573
ENSG00000234445	100874081
ENSG00000122043	440131
ENSG00000272143	283481
ENSG00000266505	NA
ENSG00000270581	NA
ENSG00000261057	NA
ENSG00000224511	NA
ENSG00000269942	NA
ENSG00000232117	101928980
ENSG00000238869	NA
ENSG00000231633	NA
ENSG00000232643	NA
ENSG00000222301	NA
ENSG00000266816	NA
ENSG00000252928	100873769
ENSG00000250878	121952
ENSG00000215049	NA
ENSG00000272542	NA
ENSG00000236463	100507040
ENSG00000234551	101930454
ENSG00000230474	NA
ENSG00000225823	NA
ENSG00000232307	282706
ENSG00000238121	100188949
ENSG00000226620	144920
ENSG00000225039	NA
ENSG00000261577	3728
ENSG00000252550	NA
ENSG00000236444	NA
ENSG00000222643	NA
ENSG00000222682	NA
ENSG00000213411	NA
ENSG00000233532	728192
ENSG00000232489	NA
ENSG00000174418	NA
